Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes
2020-08-31 12:00:00;"Treino A";"Bench Press (Barbell)";1;50;kg;8;;;;0;"";""
2020-08-31 12:00:00;"Treino A";"Bench Press (Barbell)";2;50;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Bench Press (Barbell)";3;50;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Incline Bench Press (Dumbbell)";1;12;kg;8;;;;0;"Fiz +1 set porque pensei que ia aquecer com 12kg. Ombro cansou mais rápido. E também estava reaprendendo o exercício. ";
2020-08-31 12:00:00;"Treino A";"Incline Bench Press (Dumbbell)";2;12;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Incline Bench Press (Dumbbell)";3;12;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Chest Press (Machine)";1;60;kg;8;;;;0;"Fisgada no ombro, mas nada grave. Mais atenção na forma. ";
2020-08-31 12:00:00;"Treino A";"Chest Press (Machine)";2;60;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Chest Press (Machine)";3;60;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Overhead Press (Dumbbell)";1;12;kg;8;;;;0;"";
2020-08-31 12:00:00;"Treino A";"Overhead Press (Dumbbell)";2;12;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Overhead Press (Dumbbell)";3;12;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Lateral Raise (Cable)";1;4,5;kg;8;;;;0;"";
2020-08-31 12:00:00;"Treino A";"Lateral Raise (Cable)";2;4,5;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Lateral Raise (Cable)";3;4,5;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Bench Press - Close Grip (Barbell)";1;20;kg;8;;;;0;"";
2020-08-31 12:00:00;"Treino A";"Bench Press - Close Grip (Barbell)";2;20;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Bench Press - Close Grip (Barbell)";3;20;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Triceps Pushdown (Cable - Straight Bar)";1;23;kg;8;;;;0;"";
2020-08-31 12:00:00;"Treino A";"Triceps Pushdown (Cable - Straight Bar)";2;23;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Triceps Pushdown (Cable - Straight Bar)";3;23;kg;8;;;;0;;
2020-08-31 12:00:00;"Treino A";"Crunch";1;0;kg;30;;;;0;"";
2020-08-31 12:00:00;"Treino A";"Crunch";2;0;kg;30;;;;0;;
2020-08-31 12:00:00;"Treino A";"Crunch";3;0;kg;30;;;;0;;
2020-08-31 12:00:00;"Treino A";"Reverse Crunch";1;0;kg;30;;;;0;"";
2020-08-31 12:00:00;"Treino A";"Reverse Crunch";2;0;kg;30;;;;0;;
2020-08-31 12:00:00;"Treino A";"Reverse Crunch";3;0;kg;30;;;;0;;
2020-09-02 16:00:00;"Treino B";"Bent Over Row (Barbell)";1;40;kg;8;;;;0;"";""
2020-09-02 16:00:00;"Treino B";"Bent Over Row (Barbell)";2;40;kg;8;;;;0;;
2020-09-02 16:00:00;"Treino B";"Bent Over Row (Barbell)";3;40;kg;8;;;;0;;
2020-09-02 16:00:00;"Treino B";"Seated Wide-Grip Row (Cable)";1;30;kg;8;;;;0;"";
2020-09-02 16:00:00;"Treino B";"Seated Wide-Grip Row (Cable)";2;30;kg;8;;;;0;;
2020-09-02 16:00:00;"Treino B";"Seated Wide-Grip Row (Cable)";3;30;kg;8;;;;0;;
2020-09-02 16:00:00;"Treino B";"Lat Pulldown - Wide Grip (Cable)";1;30;kg;8;;;;0;"";
2020-09-02 16:00:00;"Treino B";"Lat Pulldown - Wide Grip (Cable)";2;30;kg;8;;;;0;;
2020-09-02 16:00:00;"Treino B";"Lat Pulldown - Wide Grip (Cable)";3;30;kg;8;;;;0;;
2020-09-02 16:00:00;"Treino B";"Shrug (Barbell)";1;20;kg;8;;;;0;"Tradicional. ";
2020-09-02 16:00:00;"Treino B";"Shrug (Barbell)";2;20;kg;8;;;;0;;
2020-09-02 16:00:00;"Treino B";"Shrug (Barbell)";3;20;kg;8;;;;0;;
2020-09-02 16:00:00;"Treino B";"Retração Escapular ";1;0;kg;6;;;;0;"Na barra fixa. ";
2020-09-02 16:00:00;"Treino B";"Retração Escapular ";2;0;kg;6;;;;0;;
2020-09-02 16:00:00;"Treino B";"Retração Escapular ";3;0;kg;6;;;;0;;
2020-09-02 16:00:00;"Treino B";"Reverse Fly (Machine)";1;29;kg;8;;;;0;"";
2020-09-02 16:00:00;"Treino B";"Reverse Fly (Machine)";2;29;kg;8;;;;0;;
2020-09-02 16:00:00;"Treino B";"Reverse Fly (Machine)";3;29;kg;8;;;;0;;
2020-09-02 16:00:00;"Treino B";"Bicep Curl (Barbell)";1;10;kg;8;;;;0;"";
2020-09-02 16:00:00;"Treino B";"Bicep Curl (Barbell)";2;10;kg;8;;;;0;;
2020-09-02 16:00:00;"Treino B";"Bicep Curl (Barbell)";3;10;kg;8;;;;0;;
2020-09-02 16:00:00;"Treino B";"Incline Curl (Dumbbell)";1;7;kg;10;;;;0;"";
2020-09-02 16:00:00;"Treino B";"Incline Curl (Dumbbell)";2;7;kg;10;;;;0;;
2020-09-02 16:00:00;"Treino B";"Incline Curl (Dumbbell)";3;7;kg;10;;;;0;;
